frame_number,timestamp,max_value,min_value,mean_value,std_value
0.000000000000000000e+00,1.759158780584957123e+09,1.600177586078643799e-01,-1.524353027343750000e-01,-6.556968811409088655e-06,1.286360403622692668e-02
1.000000000000000000e+00,1.759158780607052803e+09,1.598463952541351318e-01,-1.524376422166824341e-01,-2.038629845255903905e-06,1.287417758004193169e-02
2.000000000000000000e+00,1.759158780622977972e+09,1.597712785005569458e-01,-1.523155719041824341e-01,-2.559251439129917837e-06,1.287835530849648982e-02
3.000000000000000000e+00,1.759158780638406515e+09,1.599590778350830078e-01,-1.525291949510574341e-01,-4.165287984270063105e-06,1.287064167119159226e-02
4.000000000000000000e+00,1.759158780653086185e+09,1.596093028783798218e-01,-1.525033712387084961e-01,-9.988290607283957696e-06,1.287280781407385520e-02
5.000000000000000000e+00,1.759158780668801546e+09,1.600975841283798218e-01,-1.525902301073074341e-01,-2.996258569903871361e-06,1.287161804669514735e-02
6.000000000000000000e+00,1.759158780684799433e+09,1.601186990737915039e-01,-1.525855362415313721e-01,-6.217762554710652496e-06,1.286890462754626714e-02
7.000000000000000000e+00,1.759158780701119423e+09,1.601421833038330078e-01,-1.524939835071563721e-01,-1.612673267948261583e-06,1.287739387677537886e-02
8.000000000000000000e+00,1.759158780716243744e+09,1.597994416952133179e-01,-1.522545367479324341e-01,-3.491634898974523600e-06,1.287901001611753415e-02
9.000000000000000000e+00,1.759158780730200052e+09,1.597360670566558838e-01,-1.522827148437500000e-01,-4.865754372761046545e-06,1.286820302577234947e-02
1.000000000000000000e+01,1.759158780746340752e+09,1.597783118486404419e-01,-1.525151133537292480e-01,-4.938322043839952841e-06,1.286718409050707779e-02
1.100000000000000000e+01,1.759158780761607647e+09,1.599496901035308838e-01,-1.525456309318542480e-01,-7.448905824774907517e-08,1.287209530530644339e-02
1.200000000000000000e+01,1.759158780776368380e+09,1.598980426788330078e-01,-1.523296684026718140e-01,-4.499739459358244513e-06,1.287580006103152507e-02
1.300000000000000000e+01,1.759158780792428255e+09,1.596163362264633179e-01,-1.522662788629531860e-01,-4.594368186444235015e-07,1.287612255110758518e-02
1.400000000000000000e+01,1.759158780808192968e+09,1.597407609224319458e-01,-1.523484438657760620e-01,-6.315583314050453910e-06,1.287320595919727584e-02
1.500000000000000000e+01,1.759158780824036837e+09,1.597196310758590698e-01,-1.524235606193542480e-01,-5.242798854170673209e-06,1.287122578275899307e-02
1.600000000000000000e+01,1.759158780840930462e+09,1.593322902917861938e-01,-1.524892896413803101e-01,-3.281809047771569049e-06,1.287753933038565494e-02
1.700000000000000000e+01,1.759158780855160236e+09,1.595365256071090698e-01,-1.522639244794845581e-01,-5.455769511901121476e-06,1.286015016392180396e-02
1.800000000000000000e+01,1.759158780871483326e+09,1.599144786596298218e-01,-1.523226201534271240e-01,-3.226591492951532463e-06,1.286779101528462074e-02
1.900000000000000000e+01,1.759158780886490107e+09,1.601820886135101318e-01,-1.526043266057968140e-01,-4.788443877665701402e-06,1.286646395520427144e-02
2.000000000000000000e+01,1.759158780903007507e+09,1.597759723663330078e-01,-1.523789614439010620e-01,-4.465022711535253178e-06,1.287096298609911177e-02
2.100000000000000000e+01,1.759158780918774605e+09,1.596585959196090698e-01,-1.522005498409271240e-01,-4.755306321310864034e-06,1.286565535074910178e-02
2.200000000000000000e+01,1.759158780934820175e+09,1.597384065389633179e-01,-1.521489024162292480e-01,-5.713320324845285022e-08,1.286189597727811079e-02
2.300000000000000000e+01,1.759158780950930595e+09,1.600811481475830078e-01,-1.523179262876510620e-01,-6.050543937492396725e-06,1.286220821958323525e-02
2.400000000000000000e+01,1.759158780966848612e+09,1.598745584487915039e-01,-1.522592306137084961e-01,-1.118880980372953721e-06,1.285248016319843513e-02
2.500000000000000000e+01,1.759158780981433153e+09,1.598370075225830078e-01,-1.523719131946563721e-01,-4.168440790744738184e-06,1.286591932884920998e-02
2.600000000000000000e+01,1.759158780996831179e+09,1.597149372100830078e-01,-1.524000912904739380e-01,-3.687261133803477433e-06,1.287081629464239575e-02
2.700000000000000000e+01,1.759158781012356520e+09,1.597102433443069458e-01,-1.524399966001510620e-01,-4.094304999217524781e-06,1.287312039333821621e-02
2.800000000000000000e+01,1.759158781027971745e+09,1.596421599388122559e-01,-1.522662788629531860e-01,1.589880892935823864e-07,1.286938939059436779e-02
2.900000000000000000e+01,1.759158781044128180e+09,1.598017960786819458e-01,-1.523859947919845581e-01,-2.724899841861662590e-06,1.287129017664149708e-02
3.000000000000000000e+01,1.759158781059352636e+09,1.598276197910308838e-01,-1.521582901477813721e-01,-3.695143181926386208e-06,1.286328575909961511e-02
3.100000000000000000e+01,1.759158781074468613e+09,1.598440408706665039e-01,-1.522850543260574341e-01,-4.641730362637126944e-06,1.284896253342021448e-02
3.200000000000000000e+01,1.759158781090117931e+09,1.597125828266143799e-01,-1.520268321037292480e-01,-5.260158643590261746e-06,1.283748252766684847e-02
3.300000000000000000e+01,1.759158781104705811e+09,1.596961468458175659e-01,-1.521582901477813721e-01,-3.827650032761045349e-06,1.284049041944766364e-02
3.400000000000000000e+01,1.759158781120924950e+09,1.601163595914840698e-01,-1.522310674190521240e-01,-6.661080855794978708e-06,1.286407102873995435e-02
3.500000000000000000e+01,1.759158781136067867e+09,1.601140052080154419e-01,-1.523953974246978760e-01,-3.469553479271047270e-06,1.286647676870469534e-02
3.600000000000000000e+01,1.759158781152117014e+09,1.591186672449111938e-01,-1.521629840135574341e-01,-4.673273395386816181e-06,1.286234963761577824e-02
3.700000000000000000e+01,1.759158781168009758e+09,1.594332307577133179e-01,-1.522592306137084961e-01,-1.869834102797207835e-06,1.286257254858727377e-02
3.800000000000000000e+01,1.759158781183323145e+09,1.600834876298904419e-01,-1.523226201534271240e-01,-5.397396248841560405e-06,1.284477700516198535e-02
3.900000000000000000e+01,1.759158781199290276e+09,1.596656292676925659e-01,-1.522967964410781860e-01,-4.750570722215206700e-06,1.284642893044990290e-02
4.000000000000000000e+01,1.759158781214151621e+09,1.601633131504058838e-01,-1.523507833480834961e-01,-3.919161691532701293e-06,1.284698884451661131e-02
4.100000000000000000e+01,1.759158781229624987e+09,1.599308997392654419e-01,-1.524259150028228760e-01,-8.410676417938898862e-06,1.285741284358227557e-02
4.200000000000000000e+01,1.759158781245484114e+09,1.598628312349319458e-01,-1.522803604602813721e-01,-4.160543462896912729e-06,1.286606713206769372e-02
4.300000000000000000e+01,1.759158781260988951e+09,1.603722423315048218e-01,-1.523273140192031860e-01,-3.283409295142264823e-06,1.284939501238859319e-02
4.400000000000000000e+01,1.759158781276306629e+09,1.599121242761611938e-01,-1.524353027343750000e-01,-4.233125978053995991e-06,1.284413280736060835e-02
4.500000000000000000e+01,1.759158781292134047e+09,1.597454547882080078e-01,-1.524094790220260620e-01,-2.278431179180892558e-06,1.284341272727379350e-02
4.600000000000000000e+01,1.759158781306682825e+09,1.599332541227340698e-01,-1.524329483509063721e-01,-7.285824095855718880e-06,1.283585321905734815e-02
4.700000000000000000e+01,1.759158781323262691e+09,1.599262058734893799e-01,-1.522780209779739380e-01,-2.431465572520073126e-06,1.284112965897056362e-02
4.800000000000000000e+01,1.759158781337631702e+09,1.599872410297393799e-01,-1.524188667535781860e-01,-5.012479200546803613e-06,1.283804070399496844e-02
4.900000000000000000e+01,1.759158781353718758e+09,1.595177501440048218e-01,-1.523038446903228760e-01,-1.440721028165592052e-06,1.284039339970260464e-02
5.000000000000000000e+01,1.759158781370023727e+09,1.597384065389633179e-01,-1.523930430412292480e-01,8.294664867598937316e-07,1.283511423877815340e-02
5.100000000000000000e+01,1.759158781386072636e+09,1.602196544408798218e-01,-1.525338888168334961e-01,-5.168656536193828292e-06,1.283300169950548665e-02
5.200000000000000000e+01,1.759158781402340412e+09,1.596914529800415039e-01,-1.523132324218750000e-01,-5.455777935881870176e-06,1.283422429097600022e-02
5.300000000000000000e+01,1.759158781418724298e+09,1.601069718599319458e-01,-1.524939835071563721e-01,-4.670117692037047306e-06,1.282382353096701323e-02
5.400000000000000000e+01,1.759158781433317184e+09,1.597571820020675659e-01,-1.524540781974792480e-01,-4.442959658979483964e-06,1.284571332635856683e-02
5.500000000000000000e+01,1.759158781448275805e+09,1.599802076816558838e-01,-1.524540781974792480e-01,-4.294625313150390866e-07,1.283154993459785335e-02
5.600000000000000000e+01,1.759158781463649750e+09,1.600975841283798218e-01,-1.524353027343750000e-01,-5.787071669661473093e-06,1.284291800456246850e-02
5.700000000000000000e+01,1.759158781479067087e+09,1.600553244352340698e-01,-1.525691002607345581e-01,-1.114146429671642306e-06,1.284998513078485123e-02
5.800000000000000000e+01,1.759158781494210958e+09,1.599849015474319458e-01,-1.524587720632553101e-01,-5.640352730670543973e-06,1.283894641113048421e-02
5.900000000000000000e+01,1.759158781509886026e+09,1.601515710353851318e-01,-1.523249596357345581e-01,-2.455128388207843321e-06,1.283600617489561758e-02
6.000000000000000000e+01,1.759158781524493217e+09,1.600623577833175659e-01,-1.526512652635574341e-01,-5.971672859049914644e-06,1.285126800129673431e-02
6.100000000000000000e+01,1.759158781541252851e+09,1.597876995801925659e-01,-1.525691002607345581e-01,-3.917600293277089556e-06,1.283762820562620900e-02
6.200000000000000000e+01,1.759158781557170153e+09,1.601445227861404419e-01,-1.523953974246978760e-01,-6.380266036311236079e-06,1.285455870400693638e-02
6.300000000000000000e+01,1.759158781571669102e+09,1.595013141632080078e-01,-1.522921025753021240e-01,-5.752363448351310880e-06,1.284203920560627286e-02
6.400000000000000000e+01,1.759158781588619709e+09,1.597947478294372559e-01,-1.523202657699584961e-01,-3.420642422446279486e-06,1.285068715907480320e-02
6.500000000000000000e+01,1.759158781603167057e+09,1.600412428379058838e-01,-1.524611264467239380e-01,-3.379629976419187825e-06,1.285981263941480580e-02
6.600000000000000000e+01,1.759158781619417191e+09,1.596539020538330078e-01,-1.523859947919845581e-01,-2.761185343203617627e-06,1.284657580362360760e-02
6.700000000000000000e+01,1.759158781634899855e+09,1.600201129913330078e-01,-1.525432914495468140e-01,-2.660244743210373500e-06,1.284706108000675112e-02
6.800000000000000000e+01,1.759158781652238131e+09,1.600435823202133179e-01,-1.525291949510574341e-01,1.326446871404695403e-06,1.284422260184095096e-02
6.900000000000000000e+01,1.759158781667609692e+09,1.601727008819580078e-01,-1.526066660881042480e-01,-1.469120478813365296e-06,1.283705270123618875e-02
